year,make,model,displ,cylinders,trans,drive,fuel_type,city_mpg,highway_mpg,comb_mpg,co2_emissions
2023,Subaru,SUV,3.5,4,Automatic,4WD,Electric,90.3,97.3,93.5,98.0
2023,Lexus,Wagon,5.4,6,Automatic,FWD,Electric,78.9,86.3,82.2,144.0
2024,Kia,Wagon,5.8,4,CVT,4WD,Electric,83.4,88.0,85.5,90.0
2020,Nissan,Hatchback,4.8,4,CVT,FWD,Premium,10.0,15.5,12.5,742.0
2024,Volkswagen,SUV,3.2,6,Automatic,4WD,Diesel,11.3,18.2,14.4,630.0
2024,Volkswagen,Hatchback,4.0,6,Manual,RWD,Premium,16.0,20.3,17.9,520.0
2020,Mercedes-Benz,Truck,4.5,6,Automatic,AWD,Premium,11.4,16.3,13.6,671.0
2020,Subaru,Minivan,2.0,4,Manual,FWD,Premium,10.0,17.2,13.2,677.0
2020,Tesla,Sedan,3.2,4,Manual,FWD,Regular,16.7,23.6,19.8,437.0
2020,Mazda,SUV,5.1,6,Manual,AWD,Regular,10.0,17.9,13.5,662.0
2023,Nissan,SUV,4.3,6,Automatic,FWD,Premium,10.0,18.0,13.6,658.0
2022,Volkswagen,SUV,3.1,4,Automatic,AWD,Regular,10.0,15.0,12.2,748.0
2022,Nissan,Hatchback,4.3,4,Manual,RWD,Regular,10.0,17.5,13.4,618.0
2020,Honda,Truck,1.6,4,CVT,4WD,Regular,19.1,22.6,20.7,401.0
2022,Nissan,SUV,3.0,12,CVT,RWD,Regular,10.0,16.5,12.9,694.0
2022,Ford,Minivan,5.0,6,CVT,4WD,Hybrid,28.3,32.4,30.2,301.0
2020,Kia,SUV,2.1,8,Manual,AWD,Regular,13.1,17.6,15.1,571.0
2022,Volkswagen,Wagon,1.9,4,Automatic,RWD,Regular,16.0,23.7,19.5,463.0
2024,Nissan,Sedan,5.8,8,Manual,4WD,Regular,10.0,15.0,12.2,742.0
2021,Subaru,Wagon,2.0,4,CVT,AWD,Electric,102.8,109.2,105.7,80.0
2021,Toyota,Wagon,2.3,4,Automatic,4WD,Premium,19.7,23.6,21.5,442.0
2020,Ford,Sedan,5.8,6,Manual,FWD,Premium,10.0,15.0,12.2,761.0
2023,Ford,Minivan,4.7,4,Manual,FWD,Electric,90.3,95.0,92.4,99.0
2020,Mazda,Truck,4.5,4,CVT,AWD,Regular,10.0,16.1,12.8,711.0
2023,Nissan,Wagon,5.3,4,Manual,4WD,Regular,10.0,15.0,12.2,695.0
2021,Mercedes-Benz,Truck,1.6,4,Automatic,FWD,Regular,14.9,19.4,16.9,547.0
2020,Mazda,Wagon,4.5,6,CVT,RWD,Premium,10.0,16.5,12.9,718.0
2024,Audi,Coupe,3.5,6,CVT,4WD,Premium,10.0,15.0,12.2,708.0
2022,Mazda,Sedan,5.1,6,Automatic,4WD,Regular,10.0,15.2,12.4,729.0
2023,Toyota,Wagon,3.5,6,CVT,FWD,Regular,11.6,19.3,15.0,555.0
2022,Honda,Coupe,4.1,6,Manual,FWD,Regular,10.0,15.0,12.2,713.0
2022,Nissan,Hatchback,3.4,3,Manual,AWD,Premium,15.6,20.8,17.9,486.0
2020,Chevrolet,Coupe,3.4,4,CVT,4WD,Regular,12.8,19.5,15.8,533.0
2022,Lexus,SUV,4.8,12,Automatic,RWD,Regular,10.0,16.9,13.1,674.0
2024,Volkswagen,Wagon,4.1,4,Manual,FWD,Regular,11.6,18.4,14.7,598.0
2022,Mazda,Coupe,4.2,6,Automatic,4WD,Premium,10.0,18.0,13.6,666.0
2020,Kia,Truck,3.3,4,Manual,FWD,Premium,14.2,17.5,15.7,536.0
2024,Hyundai,Hatchback,3.7,6,Manual,AWD,Regular,10.0,17.9,13.6,666.0
2021,Kia,Minivan,4.7,6,CVT,4WD,Premium,10.0,17.8,13.5,643.0
2022,Toyota,Wagon,5.1,4,CVT,4WD,Regular,13.3,20.5,16.5,513.0
2020,Toyota,SUV,4.5,4,Automatic,AWD,Hybrid,28.9,34.2,31.3,280.0
2021,Subaru,Minivan,5.6,6,CVT,RWD,Regular,10.0,17.4,13.3,683.0
2021,Audi,Coupe,5.1,4,Manual,FWD,Premium,10.0,15.0,12.2,719.0
2023,Audi,Minivan,3.8,4,Manual,AWD,Regular,16.4,23.3,19.5,466.0
2024,Honda,Minivan,4.4,6,Automatic,4WD,Regular,10.0,15.0,12.2,734.0
2022,Mercedes-Benz,Hatchback,5.6,4,Automatic,AWD,Premium,10.0,17.1,13.2,736.0
2020,Volkswagen,Minivan,4.1,8,Manual,4WD,Regular,10.0,16.1,12.7,694.0
2023,BMW,Minivan,5.1,4,CVT,AWD,Regular,10.0,15.0,12.2,725.0
2024,Mazda,Wagon,4.4,4,CVT,RWD,Regular,10.9,18.4,14.3,644.0
2023,Kia,Hatchback,3.8,6,Automatic,4WD,Regular,13.6,19.5,16.2,548.0
2024,Hyundai,SUV,2.2,4,Automatic,AWD,Regular,23.4,29.6,26.2,344.0
2024,Toyota,Coupe,3.1,4,Manual,RWD,Regular,13.8,18.2,15.8,527.0
2022,Toyota,Hatchback,5.8,4,Manual,RWD,Premium,10.0,17.4,13.3,666.0
2024,Honda,Hatchback,4.3,4,Automatic,FWD,Diesel,12.3,18.0,14.9,582.0
2023,Hyundai,Sedan,3.8,4,Manual,4WD,Regular,10.0,15.1,12.3,713.0
2024,Tesla,Hatchback,5.7,4,Automatic,FWD,Premium,10.0,15.7,12.6,710.0
2022,Hyundai,Sedan,3.9,4,Automatic,RWD,Electric,94.0,100.6,97.0,91.0
2022,Honda,Coupe,3.6,4,CVT,FWD,Regular,14.2,20.7,17.2,532.0
2023,Toyota,Minivan,4.8,6,Automatic,FWD,Regular,10.0,15.0,12.2,748.0
2021,Volkswagen,Wagon,4.6,6,Manual,AWD,Diesel,11.3,16.2,13.5,655.0
2021,Nissan,Wagon,2.0,4,CVT,FWD,Premium,16.2,22.0,18.8,479.0
2024,Nissan,Coupe,3.4,6,CVT,RWD,Regular,15.7,23.3,19.1,425.0
2020,Honda,Coupe,3.4,6,Manual,FWD,Regular,10.0,16.7,13.0,690.0
2024,Hyundai,Truck,2.9,6,Manual,4WD,Regular,10.0,15.0,12.2,750.0
2023,Mazda,Minivan,3.6,6,Manual,AWD,Hybrid,24.9,29.6,27.0,311.0
2023,Honda,Coupe,3.1,4,Automatic,RWD,Regular,12.2,17.9,14.8,616.0
2023,Volkswagen,Hatchback,2.0,8,CVT,FWD,Hybrid,30.4,37.8,33.7,255.0
2023,Honda,Wagon,3.1,3,Automatic,4WD,Regular,15.4,18.4,16.8,517.0
2023,Ford,SUV,1.4,4,Automatic,RWD,Regular,21.3,27.9,24.3,394.0
2022,Audi,Wagon,3.9,6,Automatic,FWD,Regular,10.0,15.0,12.2,728.0
2021,Kia,Sedan,5.3,4,Automatic,AWD,Premium,18.3,22.3,20.1,459.0
2023,Hyundai,Wagon,4.6,4,CVT,FWD,Regular,12.7,15.8,14.1,591.0
2020,Mercedes-Benz,Truck,2.8,6,CVT,RWD,Regular,19.9,27.4,23.3,369.0
2020,Subaru,Minivan,1.4,6,Automatic,RWD,Electric,96.9,104.4,100.3,103.0
2020,Lexus,Coupe,2.0,6,Manual,RWD,Hybrid,29.8,33.1,31.3,286.0
2020,Subaru,Minivan,3.7,6,CVT,4WD,Regular,10.0,15.6,12.5,707.0
2022,Hyundai,Coupe,2.0,4,Automatic,FWD,Regular,14.1,17.8,15.8,575.0
2020,Mercedes-Benz,Wagon,3.7,3,Manual,FWD,Diesel,23.2,30.0,26.2,323.0
2023,BMW,SUV,2.2,6,Manual,FWD,Premium,14.6,20.9,17.5,532.0
2024,Volkswagen,SUV,5.2,4,Automatic,AWD,Regular,10.5,15.0,12.5,707.0
2020,Ford,Truck,3.0,6,CVT,4WD,Hybrid,28.3,31.9,29.9,281.0
2022,Ford,Sedan,2.2,4,Manual,4WD,Regular,18.5,25.6,21.7,395.0
2022,Lexus,Wagon,5.1,4,CVT,AWD,Premium,10.8,17.2,13.7,647.0
2020,Toyota,Coupe,2.7,4,CVT,4WD,Regular,15.1,18.1,16.4,533.0
2024,Kia,Wagon,1.6,6,Manual,AWD,Premium,21.5,27.7,24.3,376.0
2020,Nissan,Truck,3.9,4,Automatic,RWD,Regular,10.0,17.1,13.2,672.0
2022,Chevrolet,Hatchback,3.9,4,Manual,RWD,Premium,10.0,16.0,12.7,693.0
2021,Volkswagen,Hatchback,4.6,4,Manual,4WD,Hybrid,32.6,37.7,34.9,262.0
2023,Lexus,Truck,2.2,4,CVT,RWD,Regular,21.9,27.8,24.5,352.0
2022,Chevrolet,Coupe,3.2,4,Automatic,RWD,Regular,14.6,20.7,17.4,521.0
2020,Tesla,Minivan,2.4,4,CVT,RWD,Regular,20.0,26.2,22.7,398.0
2023,Chevrolet,Truck,1.4,4,Manual,FWD,Electric,98.9,106.7,102.4,92.0
2020,Hyundai,Coupe,5.4,4,Automatic,RWD,Hybrid,24.7,28.6,26.5,328.0
2020,Lexus,SUV,4.6,4,Automatic,FWD,Diesel,18.4,24.5,21.2,407.0
2021,Subaru,Truck,2.5,6,Automatic,AWD,Regular,16.8,20.7,18.6,494.0
2023,Subaru,Coupe,4.0,8,Automatic,AWD,Hybrid,25.6,29.7,27.5,335.0
2023,Nissan,Truck,2.0,4,Automatic,AWD,Regular,23.2,29.6,26.1,320.0
2021,Lexus,Truck,5.5,4,Manual,AWD,Regular,10.0,17.6,13.4,655.0
2022,Hyundai,Minivan,1.6,4,Manual,AWD,Regular,11.3,15.1,13.0,710.0
2020,Chevrolet,Minivan,1.0,6,Manual,RWD,Regular,16.5,24.3,20.0,464.0
2024,Mercedes-Benz,Coupe,3.5,4,CVT,RWD,Electric,93.6,98.2,95.7,69.0
2020,Tesla,Coupe,3.9,4,Automatic,RWD,Premium,10.0,15.0,12.2,729.0
2020,BMW,Sedan,3.9,6,Automatic,AWD,Regular,10.0,15.0,12.3,731.0
2022,Audi,Truck,1.3,4,Manual,AWD,Regular,18.6,24.7,21.4,435.0
2020,Mazda,Hatchback,2.6,6,Automatic,FWD,Regular,17.6,23.6,20.3,440.0
2021,Subaru,Truck,3.5,4,CVT,4WD,Premium,11.9,17.1,14.2,636.0
2021,Volkswagen,Truck,2.1,6,Automatic,RWD,Regular,10.0,15.4,12.4,735.0
2023,Mercedes-Benz,Coupe,5.4,4,Automatic,4WD,Regular,10.0,16.1,12.8,716.0
2024,Volkswagen,Truck,1.4,8,CVT,AWD,Premium,13.2,19.2,15.9,555.0
2020,Toyota,Wagon,3.4,6,Manual,AWD,Electric,87.1,91.9,89.2,101.0
2020,Lexus,Truck,4.5,4,Manual,AWD,Hybrid,28.9,36.3,32.3,260.0
2022,Honda,Wagon,2.3,4,Automatic,4WD,Hybrid,33.7,40.0,36.5,238.0
2021,Mazda,Minivan,4.1,4,CVT,FWD,Diesel,15.1,19.2,16.9,518.0
2024,Subaru,Hatchback,5.1,6,Manual,AWD,Regular,10.0,15.0,12.2,725.0
2023,Tesla,Coupe,2.0,6,Manual,FWD,Electric,94.4,101.4,97.5,89.0
2021,Ford,Truck,5.6,4,Manual,FWD,Regular,10.0,15.0,12.2,745.0
2023,Subaru,Wagon,3.8,8,Automatic,RWD,Premium,10.0,16.8,13.0,691.0
2022,Mercedes-Benz,Wagon,2.5,3,CVT,4WD,Regular,19.0,23.8,21.2,394.0
2022,Toyota,Minivan,3.2,3,Automatic,AWD,Electric,96.7,102.4,99.2,101.0
2020,Volkswagen,Wagon,2.6,8,Manual,FWD,Regular,12.1,16.5,14.1,619.0
2024,Chevrolet,SUV,4.6,6,CVT,4WD,Regular,10.0,17.9,13.6,632.0
2023,Ford,Sedan,5.0,4,Automatic,4WD,Premium,10.0,17.5,13.4,640.0
2021,Hyundai,Hatchback,5.2,6,Manual,AWD,Regular,10.0,17.6,13.4,667.0
2022,Kia,Minivan,5.9,8,Manual,RWD,Hybrid,14.6,18.5,16.3,566.0
2020,Chevrolet,Minivan,5.0,6,Automatic,RWD,Regular,10.0,17.2,13.2,669.0
2020,Kia,Truck,4.0,6,Manual,FWD,Premium,10.0,15.7,12.6,724.0
2023,Mazda,SUV,2.7,6,Manual,RWD,Hybrid,29.6,36.2,32.6,274.0
2022,BMW,Truck,3.7,4,CVT,RWD,Premium,18.6,22.7,20.4,393.0
2024,Honda,Truck,1.2,6,Manual,RWD,Regular,15.4,22.0,18.4,495.0
2022,BMW,Coupe,4.7,4,Automatic,4WD,Regular,11.5,19.0,14.9,586.0
2023,Ford,Coupe,3.2,8,CVT,AWD,Regular,10.0,15.0,12.2,712.0
2023,Nissan,Coupe,1.1,4,Automatic,4WD,Electric,102.0,106.2,103.9,98.0
2022,Ford,SUV,1.3,6,Manual,4WD,Diesel,22.8,26.3,24.4,367.0
2023,BMW,Truck,2.9,4,CVT,AWD,Hybrid,25.0,29.3,26.9,329.0
2022,Subaru,Sedan,3.9,4,CVT,4WD,Regular,15.6,21.3,18.2,490.0
2021,Mercedes-Benz,Hatchback,3.3,4,CVT,FWD,Regular,19.1,26.3,22.3,382.0
2022,Volkswagen,Coupe,4.1,12,CVT,FWD,Regular,10.0,15.0,12.2,764.0
2022,Subaru,Coupe,3.4,8,Automatic,4WD,Diesel,11.5,17.6,14.2,629.0
2023,Subaru,Minivan,4.3,4,Manual,RWD,Regular,11.9,17.3,14.3,625.0
2023,Mercedes-Benz,Truck,2.1,12,Manual,4WD,Regular,10.0,15.0,12.2,727.0
2020,Mercedes-Benz,Truck,1.6,6,CVT,RWD,Premium,15.1,20.6,17.5,475.0
2020,Mazda,SUV,4.0,6,Manual,4WD,Regular,12.1,16.0,13.9,626.0
2021,Chevrolet,SUV,3.4,3,Automatic,FWD,Premium,13.9,20.1,16.7,508.0
2020,Nissan,Coupe,1.1,8,Manual,RWD,Regular,19.5,23.1,21.2,393.0
2022,Nissan,Truck,2.9,6,Automatic,FWD,Regular,11.9,18.6,14.9,566.0
2023,Subaru,Sedan,1.5,8,Automatic,4WD,Regular,12.6,16.5,14.3,609.0
2020,Kia,Hatchback,3.7,6,Manual,AWD,Electric,89.6,97.6,93.2,96.0
2020,Mazda,Truck,3.0,6,Automatic,RWD,Regular,10.2,17.3,13.4,635.0
2021,Lexus,Minivan,4.1,6,Automatic,RWD,Regular,10.0,15.0,12.2,742.0
2021,Lexus,Truck,5.0,4,Automatic,4WD,Regular,13.0,18.1,15.3,587.0
2022,Tesla,Wagon,2.5,4,Automatic,4WD,Regular,11.6,15.9,13.6,649.0
2023,Subaru,SUV,5.8,4,CVT,RWD,Electric,86.9,93.7,89.9,142.0
2021,Honda,Minivan,3.7,3,Manual,AWD,Regular,15.0,19.9,17.2,512.0
2020,Volkswagen,Hatchback,4.1,6,CVT,4WD,Hybrid,23.4,30.2,26.5,351.0
2023,Mercedes-Benz,Coupe,4.4,6,Automatic,4WD,Regular,10.0,15.0,12.2,733.0
2023,Chevrolet,Minivan,4.3,8,Manual,4WD,Electric,82.2,85.9,83.9,135.0
2020,Hyundai,Truck,3.6,4,Automatic,AWD,Diesel,20.7,25.5,22.8,411.0
2021,Mercedes-Benz,Coupe,3.1,4,Manual,RWD,Premium,12.6,16.1,14.2,620.0
2020,Honda,Truck,1.3,3,CVT,FWD,Premium,18.1,24.1,20.8,422.0
2023,Kia,Coupe,1.1,4,Manual,4WD,Regular,27.7,31.0,29.2,278.0
2024,Ford,Hatchback,2.8,4,Automatic,AWD,Premium,13.3,20.6,16.6,538.0
2024,Audi,SUV,2.7,6,Manual,RWD,Regular,10.0,16.8,13.1,691.0
2022,Ford,Hatchback,2.9,4,Manual,RWD,Regular,16.0,20.1,17.9,495.0
2020,BMW,Wagon,1.7,6,CVT,AWD,Diesel,25.1,30.5,27.5,351.0
2020,Honda,Sedan,4.7,4,Automatic,4WD,Regular,12.6,17.9,15.0,595.0
2022,BMW,SUV,5.3,8,Manual,FWD,Electric,90.8,97.5,93.8,120.0
2022,Subaru,Hatchback,5.7,6,CVT,4WD,Regular,10.0,15.0,12.3,719.0
2022,Hyundai,Wagon,3.5,8,Manual,RWD,Regular,10.0,15.0,12.2,705.0
2023,Toyota,Sedan,4.5,8,Automatic,FWD,Hybrid,19.5,23.9,21.5,401.0
2020,Mercedes-Benz,Wagon,5.3,8,Manual,4WD,Premium,10.0,15.3,12.4,716.0
2023,Toyota,Truck,3.1,8,Manual,FWD,Premium,10.0,17.9,13.5,643.0
2022,Kia,Truck,2.5,6,Manual,AWD,Premium,20.5,27.9,23.8,340.0
2020,Subaru,Coupe,5.7,4,Manual,4WD,Hybrid,20.9,24.8,22.6,353.0
2023,Nissan,SUV,3.6,4,Automatic,RWD,Regular,11.0,17.7,14.0,655.0
2023,Mercedes-Benz,Truck,3.5,4,CVT,RWD,Premium,10.1,17.8,13.6,661.0
2022,BMW,Minivan,1.9,6,CVT,FWD,Regular,10.0,15.0,12.2,734.0
2020,Nissan,Wagon,1.5,4,Manual,AWD,Regular,20.3,26.9,23.3,385.0
2022,Chevrolet,SUV,5.2,8,Automatic,4WD,Regular,10.0,15.3,12.4,706.0
2020,Tesla,Minivan,4.1,8,Automatic,AWD,Regular,10.0,16.4,12.9,705.0
2024,Hyundai,Truck,2.6,4,Automatic,AWD,Premium,21.1,27.1,23.8,339.0
2021,Tesla,Coupe,2.0,4,Automatic,FWD,Electric,98.4,106.3,102.0,45.0
2021,Hyundai,Hatchback,3.8,8,Automatic,FWD,Diesel,15.2,19.6,17.2,513.0
2021,Ford,Coupe,3.9,4,Automatic,4WD,Premium,10.0,16.9,13.1,681.0
2022,Mazda,Minivan,2.0,6,Manual,RWD,Regular,16.2,20.4,18.1,473.0
2024,Mercedes-Benz,Sedan,5.3,4,CVT,4WD,Regular,10.0,15.2,12.3,691.0
2020,BMW,Truck,1.4,6,CVT,AWD,Regular,11.0,18.9,14.6,621.0
2023,Tesla,Minivan,2.8,4,Manual,FWD,Premium,20.6,27.5,23.7,367.0
2020,Kia,Sedan,4.4,8,CVT,AWD,Regular,10.0,15.0,12.2,742.0
2023,Toyota,Sedan,2.4,6,Automatic,FWD,Regular,16.9,23.0,19.6,480.0
2020,Lexus,Wagon,5.1,4,Automatic,RWD,Hybrid,27.7,30.9,29.2,272.0
2024,Audi,SUV,4.7,4,CVT,AWD,Premium,14.4,18.8,16.4,546.0
2023,Kia,Wagon,4.9,4,Automatic,FWD,Diesel,14.7,21.3,17.7,507.0
2022,Nissan,Truck,1.6,8,Automatic,4WD,Premium,17.0,22.8,19.6,468.0
2020,Nissan,Sedan,1.7,6,CVT,4WD,Regular,10.1,15.4,12.5,700.0
2020,Tesla,Minivan,2.4,4,Manual,4WD,Regular,15.5,22.0,18.4,484.0
2023,Audi,Hatchback,3.6,4,CVT,AWD,Electric,93.0,98.0,95.2,108.0
2022,Honda,Sedan,4.7,4,CVT,FWD,Premium,10.0,15.0,12.2,737.0
2022,Chevrolet,Minivan,5.2,6,CVT,FWD,Premium,10.0,15.2,12.3,754.0
2024,Mercedes-Benz,Hatchback,4.5,6,CVT,FWD,Regular,10.0,17.5,13.4,646.0
2022,Hyundai,Wagon,5.6,4,Manual,AWD,Premium,10.0,17.3,13.3,672.0
2022,Volkswagen,Wagon,4.7,6,Manual,FWD,Regular,10.0,15.0,12.3,721.0
2022,Lexus,SUV,2.5,6,Automatic,RWD,Regular,20.4,23.5,21.8,404.0
2021,BMW,Minivan,2.3,8,Automatic,AWD,Regular,17.7,23.9,20.5,445.0
2024,Kia,Sedan,4.5,8,CVT,RWD,Regular,10.0,16.7,13.0,686.0
2020,BMW,Coupe,2.0,6,Automatic,RWD,Regular,16.6,21.1,18.6,456.0
2023,Nissan,Wagon,1.5,6,Manual,4WD,Regular,18.4,23.8,20.8,446.0
2020,Mazda,Wagon,3.7,4,Automatic,AWD,Premium,11.2,19.2,14.8,612.0
2024,Ford,SUV,5.1,6,Automatic,FWD,Premium,10.0,15.9,12.6,735.0
2023,Toyota,Hatchback,1.5,4,Automatic,RWD,Regular,15.2,20.0,17.4,525.0
2024,Chevrolet,SUV,5.0,4,CVT,AWD,Regular,10.0,16.1,12.8,690.0
2022,Mazda,Sedan,5.1,4,Automatic,FWD,Hybrid,16.2,20.1,17.9,492.0
